Especie,Longitud,Latitud
Drimys winteri,-71.083333332999999,-34.433333333400000
Drimys winteri,-74.583333332799995,-45.666666667100003
Drimys winteri,-74.116666666100002,-42.633333333099998
Drimys winteri,-73.916666666200001,-38.366666667099999
Drimys winteri,-73.776746308599996,-42.468887945500001
Drimys winteri,-73.805808986599999,-43.878270376800003
Drimys winteri,-73.705716127399995,-45.009001288900002
Drimys winteri,-73.674899493300003,-42.374585955400001
Drimys winteri,-73.616666666699999,-41.850000000300000
Drimys winteri,-73.558294301600000,-42.933307312499998
Drimys winteri,-73.484595246699996,-46.304989646499997
Drimys winteri,-73.483333332900003,-40.166666666899999
Drimys winteri,-73.436147965900005,-39.867795810899999
Drimys winteri,-73.442147684999995,-39.897250730000003
Drimys winteri,-73.383333332800007,-38.783333333400002
Drimys winteri,-73.383333332899994,-39.783333332900000
Drimys winteri,-73.349999999999994,-37.466666666800002
Drimys winteri,-73.333333333300004,-46.416666666799998
Drimys winteri,-73.299999999500002,-37.566666666700002
Drimys winteri,-73.266666666099994,-46.416666666499999
Drimys winteri,-73.249999999699995,-37.983333333200001
Drimys winteri,-73.233333333700003,-37.566666666800003
Drimys winteri,-73.233333333700003,-37.683333333400000
Drimys winteri,-73.233333333600001,-37.999999999899998
Drimys winteri,-73.233333333399997,-39.816666666499998
Drimys winteri,-73.166666666500006,-36.783333333700000
Drimys winteri,-73.166666666400005,-37.699999999900001
Drimys winteri,-73.133333333099998,-36.900000000299997
Drimys winteri,-73.099999999900007,-36.833333333100001
Drimys winteri,-73.099999999700003,-39.983333333700003
Drimys winteri,-73.033333333599998,-36.833333333100001
Drimys winteri,-72.999999999400004,-37.666666666399998
Drimys winteri,-72.966666666500004,-39.516666667000003
Drimys winteri,-72.962920192499993,-42.780392529499998
Drimys winteri,-72.916666666300003,-36.733333333300003
Drimys winteri,-72.916666667000001,-36.949999999799999
Drimys winteri,-72.849999999900007,-37.816666666400003
Drimys winteri,-72.833333333599995,-40.550000000200001
Drimys winteri,-72.831873848399994,-41.433333333000000
Drimys winteri,-72.800000000300003,-39.966666666700000
Drimys winteri,-72.766666666500001,-39.866666666299999
Drimys winteri,-72.733333332900003,-36.900000000200002
Drimys winteri,-72.700000000299994,-44.749999999499998
Drimys winteri,-72.683333333400000,-39.233333333499999
Drimys winteri,-72.650000000199995,-36.816666666899998
Drimys winteri,-72.581666666999993,-44.418333333600003
Drimys winteri,-72.566666666900005,-35.716666666700000
Drimys winteri,-72.549999999999997,-39.816666666300002
Drimys winteri,-72.516666666399999,-35.833333333299997
Drimys winteri,-72.499999999500005,-43.833333333299997
Drimys winteri,-72.483333332900003,-35.866666666900002
Drimys winteri,-72.466666666400002,-37.783333333199998
Drimys winteri,-72.433333332900006,-38.533333333599998
Drimys winteri,-72.433333333700006,-39.733333332900003
Drimys winteri,-72.416666666699996,-40.637267991199998
Drimys winteri,-72.350000000199998,-35.966666666899997
Drimys winteri,-72.333333333300004,-39.633333332900001
Drimys winteri,-72.283333333900003,-36.750000000000000
Drimys winteri,-72.266666666700004,-39.783333333300000
Drimys winteri,-72.250000000000000,-39.033333332900000
Drimys winteri,-72.227685640800004,-39.260833091499997
Drimys winteri,-72.199999999799999,-39.716666666499997
Drimys winteri,-72.166666667100003,-39.899999999700000
Drimys winteri,-72.049999999799994,-36.899999999499997
Drimys winteri,-72.033333333300007,-34.850000000300000
Drimys winteri,-71.883333333600007,-34.566666666400003
Drimys winteri,-71.833333332899997,-36.566666666499998
Drimys winteri,-71.783333333800002,-37.76666666690000
Drimys winteri,-71.749999999799996,-37.76666666690000
Drimys winteri,-71.750000000399993,-38.16666666639999
Drimys winteri,-71.716666666300000,-36.88333333300000
Drimys winteri,-71.699999999499994,-38.84999999979999
Drimys winteri,-71.666666667200005,-30.66666666629999
Drimys winteri,-71.632719418500002,-33.035788992000001
Drimys winteri,-71.633333332899994,-33.05000000030000
Drimys winteri,-71.633333333200000,-36.84999999960000
Drimys winteri,-71.633333333500005,-36.88333333309999
Drimys winteri,-71.616666666599997,-30.83333333339999
Drimys winteri,-71.566666666900005,-33.033333333000002
Drimys winteri,-71.550000000099999,-33.03333333330000
Drimys winteri,-71.536326746599997,-32.778225954800000
