Especie,Longitud,Latitud
Puya chilensis,-73.166666666300003,-36.799999999900002
Puya chilensis,-72.666666666200001,-37.183333333000000
Puya chilensis,-71.666666667200005,-30.666666666299999
Puya chilensis,-71.633333332999996,-30.666666666499999
Puya chilensis,-71.566666666900005,-33.033333333000002
Puya chilensis,-71.550000000099999,-33.033333333300000
Puya chilensis,-71.516666666500001,-32.150000000200002
Puya chilensis,-71.472532318099994,-32.791329979399997
Puya chilensis,-71.499999999899998,-31.916666666800001
Puya chilensis,-71.466666666699993,-30.800000000099999
Puya chilensis,-71.416666666300003,-32.516666666500001
Puya chilensis,-71.375640946199994,-29.975890231800001
Puya chilensis,-71.266666667099997,-33.016666666900001
Puya chilensis,-71.266666666999996,-33.099999999900000
Puya chilensis,-71.050000000200001,-29.583333333500001
Puya chilensis,-71.049999999799994,-29.579999999599998
Puya chilensis,-71.367144647200007,-29.974996867700000
Puya chilensis,-71.370000000100006,-30.050000000200001
Puya chilensis,-71.630000000199999,-30.669999999600002
Puya chilensis,-71.669999999500007,-30.669999999500000
Puya chilensis,-71.469999999999999,-30.800000000200001
Puya chilensis,-71.619999999599997,-30.879999999599999
Puya chilensis,-71.500000000000000,-31.919999999700000
Puya chilensis,-71.520000000300001,-32.150000000299997
Puya chilensis,-71.420000000100003,-32.519999999600003
Puya chilensis,-71.450000000200006,-32.570000000100002
Puya chilensis,-71.530000000000001,-32.779999999700003
Puya chilensis,-70.929999999499998,-32.980000000300002
Puya chilensis,-71.269999999500001,-33.019999999600003
Puya chilensis,-71.499999999799996,-33.029999999799998
Puya chilensis,-71.549999999600004,-33.029999999600001
Puya chilensis,-71.570000000199997,-33.030000000000001
Puya chilensis,-71.270000000300001,-33.100000000000001
Puya chilensis,-71.950000000200006,-34.200000000300001
Puya chilensis,-73.182617407300000,-36.760207887299998
Puya chilensis,-73.170000000300007,-36.799999999900002
Puya chilensis,-72.669999999900000,-37.180000000200003
Puya chilensis,-71.533379088100006,-32.133559079699999
Puya chilensis,-72.587080000200004,-35.560389999500003
Puya chilensis,-71.464270000100001,-32.540729999699998
Puya chilensis,-71.510399999900002,-32.221320000100000
Puya chilensis,-71.509200000500002,-32.021450000199998
Puya chilensis,-71.054940000399995,-33.059650000100000
Puya chilensis,-72.526029999800002,-35.798220000000001
Puya chilensis,-71.681080000199998,-30.657579999799999
