Especie,Longitud,Latitud
Lycalopex_culpaeus,-71.65895700000,-33.80859200000
Lycalopex_culpaeus,-68.46550900000,-21.81481100000
Lycalopex_culpaeus,-67.78564500000,-23.69744100000
Lycalopex_culpaeus,-71.10920100000,-31.54585800000
Lycalopex_culpaeus,-70.30000300000,-29.93333200000
Lycalopex_culpaeus,-70.03333300000,-29.83333400000
Lycalopex_culpaeus,-70.40000100000,-29.85000000000
Lycalopex_culpaeus,-68.56666600000,-21.95000100000
Lycalopex_culpaeus,-69.34999800000,-20.50000000000
Lycalopex_culpaeus,-71.44999700000,-32.51666600000
Lycalopex_culpaeus,-71.28333300000,-32.63333500000
Lycalopex_culpaeus,-70.80000300000,-32.75000000000
Lycalopex_culpaeus,-71.23333000000,-32.83333200000
Lycalopex_culpaeus,-71.26667000000,-33.01666600000
Lycalopex_culpaeus,-70.29448600000,-33.33536300000
Lycalopex_culpaeus,-72.70752000000,-50.93205400000
Lycalopex_culpaeus,-73.40678800000,-50.94232600000
Lycalopex_culpaeus,-71.63738300000,-30.67483000000
Lycalopex_culpaeus,-72.88940100000,-51.01603600000
Lycalopex_culpaeus,-71.08560500000,-32.93227500000
Lycalopex_culpaeus,-69.17083300000,-27.08583300000
Lycalopex_culpaeus,-70.21783700000,-33.83263900000
Lycalopex_culpaeus,-70.66666700000,-33.45000000000
Lycalopex_culpaeus,-67.49553700000,-23.05641700000
Lycalopex_culpaeus,-71.65059000000,-30.64055200000
Lycalopex_culpaeus,-70.26735300000,-33.62262400000
Lycalopex_culpaeus,-73.11786700000,-51.12268200000
Lycalopex_culpaeus,-73.00113600000,-51.00454400000
Lycalopex_culpaeus,-72.87213100000,-50.97159600000
Lycalopex_culpaeus,-71.49211300000,-44.57492900000
Lycalopex_culpaeus,-72.70653900000,-41.21505500000
Lycalopex_culpaeus,-72.51710200000,-41.14883700000
Lycalopex_culpaeus,-71.03446900000,-35.59884600000
Lycalopex_culpaeus,-70.10791500000,-33.68709400000
Lycalopex_culpaeus,-70.88643600000,-33.49137500000
Lycalopex_culpaeus,-70.93280000000,-33.46079800000
Lycalopex_culpaeus,-70.30773900000,-33.34884800000
Lycalopex_culpaeus,-70.35626900000,-33.34810700000
Lycalopex_culpaeus,-70.35863200000,-33.34681700000
Lycalopex_culpaeus,-70.98820800000,-33.06856100000
Lycalopex_culpaeus,-71.02940900000,-33.01693600000
Lycalopex_culpaeus,-71.13302400000,-32.98224300000
Lycalopex_culpaeus,-71.68445500000,-30.61309100000
Lycalopex_culpaeus,-70.80371500000,-30.16907100000
Lycalopex_culpaeus,-67.78026200000,-23.73653500000
Lycalopex_culpaeus,-67.80595400000,-23.72508400000
Lycalopex_culpaeus,-67.82677000000,-23.69698700000
Lycalopex_culpaeus,-68.06716700000,-22.75504100000
Lycalopex_culpaeus,-68.03739300000,-22.41540700000
Lycalopex_culpaeus,-68.01138900000,-22.34111100000
Lycalopex_culpaeus,-71.11722600000,-33.00249000000
Lycalopex_culpaeus,-69.75064700000,-28.11602000000
Lycalopex_culpaeus,-72.80119400000,-50.98050000000
Lycalopex_culpaeus,-72.87225700000,-50.97170000000
Lycalopex_culpaeus,-70.82465300000,-33.73840000000


























