Especie,Longitud,Latitud
Octodon degus,-70.41857400000,-30.74634200000
Octodon degus,-70.89459300000,-33.46271600000
Octodon degus,-71.34343700000,-30.53464300000
Octodon degus,-70.51446000000,-33.45607800000
Octodon degus,-71.10667500000,-31.50910800000
Octodon degus,-70.51103800000,-33.19189500000
Octodon degus,-71.68595700000,-30.65196400000
Octodon degus,-71.37295000000,-30.70391700000
Octodon degus,-71.10659400000,-31.50896600000
Octodon degus,-71.10659500000,-31.50907800000
Octodon degus,-71.10667100000,-31.50911600000
Octodon degus,-71.00647500000,-33.59103400000
Octodon degus,-71.37312200000,-30.70328800000
Octodon degus,-70.82300000000,-33.73600000000
Octodon degus,-70.82400000000,-33.73600000000
Octodon degus,-71.05292600000,-32.97096100000
Octodon degus,-71.10733100000,-31.50972500000
Octodon degus,-71.08713000000,-32.93626200000
Octodon degus,-71.61666700000,-30.53333300000
Octodon degus,-71.37785200000,-30.70361500000
Octodon degus,-71.28968200000,-29.81765400000
Octodon degus,-70.88984100000,-33.49392900000
Octodon degus,-70.51561500000,-33.49756600000
Octodon degus,-70.51450300000,-33.45718800000
Octodon degus,-71.69772200000,-30.61163300000
Octodon degus,-71.27816100000,-29.69205500000
Octodon degus,-70.32943300000,-33.33169200000
Octodon degus,-70.28179300000,-33.26185300000
Octodon degus,-71.37420200000,-30.70377500000
Octodon degus,-70.51620900000,-33.49560000000
Octodon degus,-70.88344700000,-33.49579300000
Octodon degus,-71.10578600000,-31.51100200000
Octodon degus,-71.68465800000,-30.73669600000
Octodon degus,-70.33298100000,-33.33775800000
Octodon degus,-70.90772200000,-30.70020300000
Octodon degus,-71.10665800000,-31.50911700000
Octodon degus,-70.48000000000,-33.46000000000
Octodon degus,-70.48355000000,-33.40361700000
Octodon degus,-70.51597000000,-33.49279400000
Octodon degus,-70.49802400000,-33.54324000000
Octodon degus,-70.82465300000,-33.73840000000
Octodon degus,-70.49802400000,-33.54324000000
Octodon degus,-70.32309700000,-33.32126500000
Octodon degus,-70.91306800000,-33.49590000000
Octodon degus,-71.09728700000,-32.90752100000
Octodon degus,-70.88600600000,-33.49607100000
Octodon degus,-70.50105100000,-33.43601100000
Octodon degus,-71.10672400000,-31.50899900000
Octodon degus,-71.08595600000,-32.93280000000
Octodon degus,-70.34966500000,-32.92731600000
Octodon degus,-71.66879000000,-30.64557200000
Octodon degus,-71.38240100000,-30.56902300000
Octodon degus,-70.89335900000,-33.29861000000
Octodon degus,-71.40954200000,-30.58185600000
Octodon degus,-70.93333300000,-33.48333300000
Octodon degus,-70.90000000000,-33.25000000000
Octodon degus,-71.28958000000,-29.81784300000
Octodon degus,-71.08862300000,-32.94432800000
Octodon degus,-71.08851300000,-32.95714900000
Octodon degus,-71.10669400000,-31.50915600000
Octodon degus,-71.37668100000,-30.70388900000
Octodon degus,-70.90779700000,-30.70018800000
Octodon degus,-70.51781300000,-32.43360200000
Octodon degus,-70.82511300000,-33.00734000000
Octodon degus,-71.08560500000,-32.93227500000
Octodon degus,-71.63738300000,-30.67483000000
Octodon degus,-71.65197500000,-30.56457500000
Octodon degus,-70.85000000000,-33.26666700000
Octodon degus,-71.66667000000,-30.66667000000
Octodon degus,-70.48355000000,-33.40361700000
Octodon degus,-70.48881700000,-33.40896700000
Octodon degus,-70.48369400000,-33.40602800000
Octodon degus,-70.49247200000,-33.41494400000
Octodon degus,-70.48333300000,-33.40361700000
Octodon degus,-70.48355000000,-33.40361700000
Octodon degus,-70.48369400000,-33.40602800000
Octodon degus,-70.48000000000,-33.40000000000
Octodon degus,-70.48000000000,-33.46000000000
Octodon degus,-71.66667000000,-30.66667000000
Octodon degus,-70.48881700000,-33.40896700000
Octodon degus,-70.48355000000,-33.40361700000
Octodon degus,-70.53180000000,-33.56360000000
Octodon degus,-70.48355000000,-33.40361700000
Octodon degus,-70.51652800000,-34.45636100000
Octodon degus,-70.58000000000,-31.82000000000
Octodon degus,-71.10920100000,-31.54585800000
Octodon degus,-71.45000000000,-33.05000000000
Octodon degus,-70.61666900000,-33.10384000000
Octodon degus,-71.66667200000,-30.66667000000
Octodon degus,-71.25000000000,-30.03532000000
Octodon degus,-71.66667200000,-30.66667000000
Octodon degus,-70.96666700000,-33.50000000000
Octodon degus,-71.55000300000,-33.28961900000
Octodon degus,-71.66667200000,-30.66667000000
Octodon degus,-70.96666700000,-33.50000000000
Octodon degus,-70.34117900000,-28.56666900000
Octodon degus,-71.66667200000,-30.66667000000
Octodon degus,-71.25000000000,-30.03532000000
Octodon degus,-71.66667200000,-30.66667000000
Octodon degus,-71.08560500000,-32.93227500000
Octodon degus,-71.48495000000,-35.75883000000
Octodon degus,-72.00000000000,-52.41670000000
Octodon degus,-70.92387300000,-33.48785500000
Octodon degus,-70.59999800000,-33.34999800000
Octodon degus,-70.93333400000,-33.08333200000
Octodon degus,-71.66666400000,-30.66666600000
Octodon degus,-71.66666400000,-30.66666600000
Octodon degus,-70.65000100000,-33.41666800000
Octodon degus,-70.76667000000,-28.58333400000
Octodon degus,-71.19999700000,-32.78333300000
Octodon degus,-71.26667000000,-32.88333500000
Octodon degus,-71.26667000000,-33.01666600000
Octodon degus,-71.26667000000,-32.88333500000
Octodon degus,-70.76667000000,-28.58333400000
Octodon degus,-71.26667000000,-30.20000100000
Octodon degus,-71.11666900000,-29.88333300000
Octodon degus,-71.30000300000,-32.36666500000
Octodon degus,-71.44999700000,-32.51666600000
Octodon degus,-71.19999700000,-33.00000000000
Octodon degus,-71.65000100000,-33.61666500000
Octodon degus,-71.44999700000,-32.16666800000
Octodon degus,-70.93333400000,-33.08333200000
Octodon degus,-70.59999800000,-33.34999800000
Octodon degus,-71.21666700000,-32.78333300000
Octodon degus,-71.43372600000,-35.50194000000
Octodon degus,-71.65461000000,-30.63841000000
Octodon degus,-70.58225000000,-31.82047200000
Octodon degus,-70.81703100000,-33.01775000000
Octodon degus,-70.51652000000,-33.45636000000
Octodon degus,-70.48848300000,-33.46896700000
Octodon degus,-70.89427000000,-33.49569000000
Octodon degus,-70.53180000000,-33.56360000000
Octodon degus,-70.24750000000,-33.78610000000
Octodon degus,-71.99040000000,-36.45169000000
Octodon degus,-71.45000000000,-33.05000000000
Octodon degus,-71.55000000000,-33.28960000000
Octodon degus,-70.34120000000,-28.56670000000
Octodon degus,-71.25000000000,-30.03530000000
Octodon degus,-71.66670000000,-30.66670000000
Octodon degus,-70.96670000000,-33.50000000000
