Especie,Longitud,Latitud
Alstroemeria pulchra,-71.133333333400003,-32.950000000199999
Alstroemeria pulchra,-71.250000000000000,-32.883333333300001
Alstroemeria pulchra,-71.249999999899998,-29.979999999899999
Alstroemeria pulchra,-71.130000000300001,-30.199999999900001
Alstroemeria pulchra,-71.619999999599997,-30.670000000000002
Alstroemeria pulchra,-71.070000000299999,-31.400000000100000
Alstroemeria pulchra,-71.230000000399997,-31.649999999599999
Alstroemeria pulchra,-71.329999999999998,-31.769999999900001
Alstroemeria pulchra,-71.513999999999996,-32.132299999600001
Alstroemeria pulchra,-71.509999999599998,-32.159999999999997
Alstroemeria pulchra,-71.160000000099998,-32.170000000100003
Alstroemeria pulchra,-71.500000000300005,-32.219999999700001
Alstroemeria pulchra,-71.320000000500002,-32.229999999800000
Alstroemeria pulchra,-71.519999999899994,-32.230000000200000
Alstroemeria pulchra,-71.480000000299995,-32.249999999499998
Alstroemeria pulchra,-70.920000000200005,-32.549999999900002
Alstroemeria pulchra,-71.250000000200004,-32.569999999700002
Alstroemeria pulchra,-71.250000000000000,-32.619999999900003
Alstroemeria pulchra,-71.219999999500004,-32.670000000199998
Alstroemeria pulchra,-70.980000000100006,-32.719999999999999
Alstroemeria pulchra,-70.950000000200006,-32.799999999900002
Alstroemeria pulchra,-70.969999999500004,-32.799999999800001
Alstroemeria pulchra,-70.850000000500003,-32.850000000000001
Alstroemeria pulchra,-70.899999999700000,-33.080000000100000
Alstroemeria pulchra,-70.869999999800001,-33.479999999500002
Alstroemeria pulchra,-70.950000000399996,-33.479999999500002
Alstroemeria pulchra,-72.044998754399998,-34.421113132199999
Alstroemeria pulchra,-72.749999999500005,-37.869999999999997
Alstroemeria pulchra,-71.500000000499995,-32.070000000199997
Alstroemeria pulchra,-71.520000000500005,-32.180000000000000
Alstroemeria pulchra,-70.830000000100000,-32.549999999599997
Alstroemeria pulchra,-71.250000000399993,-32.880000000099997
Alstroemeria pulchra,-71.329999999899997,-32.930000000200003
Alstroemeria pulchra,-71.129999999700004,-32.949999999699997
Alstroemeria pulchra,-71.129999999899994,-32.980000000200000
Alstroemeria pulchra,-71.150000000500000,-32.979999999900002
Alstroemeria pulchra,-71.069999999900006,-33.019999999800000
Alstroemeria pulchra,-71.570000000199997,-33.030000000000001
Alstroemeria pulchra,-71.219999999899997,-33.100000000100003
Alstroemeria pulchra,-71.280000000100003,-33.250000000299998
Alstroemeria pulchra,-71.649999999499997,-33.270000000099998
Alstroemeria pulchra,-71.469581543800004,-32.553292431700001
Alstroemeria pulchra,-71.130000000500004,-32.969999999700001
Alstroemeria pulchra,-71.736263142499993,-33.096114379100001
Alstroemeria pulchra,-70.930000000500002,-33.469999999599999
Alstroemeria pulchra,-70.900000000000006,-33.479999999999997
Alstroemeria pulchra,-71.997839786100002,-34.384080404099997
Alstroemeria pulchra,-71.430000000199996,-34.979999999900002
Alstroemeria pulchra,-72.580000000300004,-35.820000000100002
Alstroemeria pulchra,-71.169999999900000,-29.430000000100002
Alstroemeria pulchra,-71.229999999699999,-29.570000000200000
Alstroemeria pulchra,-71.669999999500007,-30.669999999500000
Alstroemeria pulchra,-71.500000000000000,-32.020000000300001
Alstroemeria pulchra,-71.520000000300001,-32.150000000299997
Alstroemeria pulchra,-71.229999999800000,-32.579999999999998
Alstroemeria pulchra,-71.249999999899998,-32.670000000100003
Alstroemeria pulchra,-71.250000000499995,-32.980000000099999
Alstroemeria pulchra,-71.269999999500001,-33.019999999600003





