Especie,Longitud,Latitud
Jubaea chilensis,-71.116666666300006,-32.833333333299997
Jubaea chilensis,-71.516999999899994,-32.999999999600000
Jubaea chilensis,-71.517000000300001,-33.049999999999997
Jubaea chilensis,-70.667000000200005,-33.450000000300001
Jubaea chilensis,-72.067000000099995,-34.766700000400000
Jubaea chilensis,-72.066667000300001,-34.766666999999998
Jubaea chilensis,-72.066666666900005,-34.766666666799999
Jubaea chilensis,-72.060000000100004,-34.739999999500000
Jubaea chilensis,-71.783333000200003,-35.250000000299998
Jubaea chilensis,-71.783333000300004,-34.416666999800000
Jubaea chilensis,-71.579999999799995,-33.060000000300001
Jubaea chilensis,-71.533333000100001,-33.033332999700001
Jubaea chilensis,-71.516666999799995,-33.666670000300002
Jubaea chilensis,-71.516666666899994,-33.050000000300003
Jubaea chilensis,-71.509999999599998,-33.029999999799998
Jubaea chilensis,-71.483333000000002,-34.849999999600001
Jubaea chilensis,-71.339999999499994,-34.079999999899997
Jubaea chilensis,-71.233332999799998,-33.966667000100003
Jubaea chilensis,-71.233330000300001,-35.166669999800000
Jubaea chilensis,-71.190000000500007,-32.079999999999998
Jubaea chilensis,-71.159999999500002,-31.799999999699999
Jubaea chilensis,-71.150000000000006,-32.150000000200002
Jubaea chilensis,-71.149999999700000,-31.733333000199998
Jubaea chilensis,-71.133333000500002,-34.200000000400003
Jubaea chilensis,-71.119999999699999,-32.830000000100000
Jubaea chilensis,-71.116667000199996,-32.833333000300001
Jubaea chilensis,-71.116666999800003,-32.083332999600003
Jubaea chilensis,-71.110000000300005,-32.800000000200001
Jubaea chilensis,-71.101805999899995,-34.188305999599997
Jubaea chilensis,-71.101670000400006,-34.188330000199997
Jubaea chilensis,-71.101500000200005,-34.194416999500000
Jubaea chilensis,-71.100000000500003,-32.800000000099999
Jubaea chilensis,-71.083336000100005,-32.916668000100003
Jubaea chilensis,-71.083333333799999,-32.933333333500002
Jubaea chilensis,-71.081580000200006,-32.939359999600001
Jubaea chilensis,-71.079999999699993,-32.899999999999999
Jubaea chilensis,-71.080000000300004,-32.289999999899997
Jubaea chilensis,-71.078139000400000,-32.936110999599997
Jubaea chilensis,-71.066670000100004,-33.000000000299998
Jubaea chilensis,-71.066667000300001,-32.999999999499998
Jubaea chilensis,-71.066666999800006,-32.949999999600003
Jubaea chilensis,-70.994833000100002,-34.140944000099999
Jubaea chilensis,-70.994719999599994,-34.140829999499999
Jubaea chilensis,-70.939999999799994,-32.799999999699999
Jubaea chilensis,-70.639999999899999,-33.429999999600000
Jubaea chilensis,-70.559999999799999,-33.430000000400000
