Especie,Longitud,Latitud
Crinodendron patagua,-73.049999999999997,-36.816666667000000
Crinodendron patagua,-72.666666666599994,-37.083333333600002
Crinodendron patagua,-72.666666666400005,-37.099999999799998
Crinodendron patagua,-72.633333333699994,-37.083333333699997
Crinodendron patagua,-72.449999999599996,-36.116666666199997
Crinodendron patagua,-72.450000000399996,-36.183333333000000
Crinodendron patagua,-72.300000000500006,-36.733333333499999
Crinodendron patagua,-71.633333333400003,-36.283333333700000
Crinodendron patagua,-71.566666666900005,-33.033333333000002
Crinodendron patagua,-71.533333333800002,-33.583333333600002
Crinodendron patagua,-71.383333333200000,-36.016666666799999
Crinodendron patagua,-71.250000000200004,-33.016666666500001
Crinodendron patagua,-71.233333333000004,-32.450000000099998
Crinodendron patagua,-71.233333333299996,-34.983333333099999
Crinodendron patagua,-71.183333332900006,-32.950000000300001
Crinodendron patagua,-71.166666666899999,-32.983333333300003
Crinodendron patagua,-71.133333333400003,-32.950000000199999
Crinodendron patagua,-71.116666666300006,-32.833333333299997
Crinodendron patagua,-70.999999999500005,-32.399999999800002
Crinodendron patagua,-70.750000000200004,-33.416666666700003
Crinodendron patagua,-70.633333333200000,-33.416666666899999
Crinodendron patagua,-70.599999999900007,-32.833333332899997
Crinodendron patagua,-70.533333333000002,-33.466666666800002
Crinodendron patagua,-70.516666666399999,-33.500000000000000
Crinodendron patagua,-73.633333333099998,-37.616666666800000
Crinodendron patagua,-73.133333000299999,-36.783332999899997
Crinodendron patagua,-73.129999999800006,-36.779999999700003
Crinodendron patagua,-73.130000000300001,-36.749999999600000
Crinodendron patagua,-73.049999999799994,-36.833329999800000
Crinodendron patagua,-73.049999999799994,-36.820000000199997
Crinodendron patagua,-73.049999999600004,-36.816667000300001
Crinodendron patagua,-73.050000000400004,-36.779999999499999
Crinodendron patagua,-72.733333333100006,-37.133333333000003
Crinodendron patagua,-72.716666666799995,-37.250000000299998
Crinodendron patagua,-72.670000000200005,-37.099999999600001
Crinodendron patagua,-72.670000000100003,-37.079999999700000
Crinodendron patagua,-72.666667000499999,-37.100000000199998
Crinodendron patagua,-72.666667000199993,-37.083332999900001
Crinodendron patagua,-72.640000000399993,-37.099999999500000
Crinodendron patagua,-72.633332999499999,-37.083332999800000
Crinodendron patagua,-72.630000000199999,-37.080000000299997
Crinodendron patagua,-72.450000000200006,-36.183332999599997
Crinodendron patagua,-72.450000000000003,-36.180000000000000
Crinodendron patagua,-72.450000000100005,-36.120000000200001
Crinodendron patagua,-72.449999999799999,-36.116666999600000
Crinodendron patagua,-72.450000000100005,-36.050000000200001
Crinodendron patagua,-72.430000000000007,-36.180000000200003
Crinodendron patagua,-72.429999999900005,-36.109999999700001
Crinodendron patagua,-72.426194949999996,-35.339519931399998
Crinodendron patagua,-72.420000000100003,-36.749999999600000
Crinodendron patagua,-72.416666999599997,-36.749999999899998
Crinodendron patagua,-72.383333333300001,-36.649999999899997
Crinodendron patagua,-72.349999999800005,-36.383333332900001
Crinodendron patagua,-72.299999999700006,-36.733333000099996
Crinodendron patagua,-72.299999999899995,-36.730000000200000
Crinodendron patagua,-72.290000000500001,-36.700000000300001
Crinodendron patagua,-72.266666999500003,-35.583333000099998
Crinodendron patagua,-72.233333333399997,-36.150000000299997
Crinodendron patagua,-72.083332999600003,-36.599999999600001
Crinodendron patagua,-72.080000000499993,-36.579999999499996
Crinodendron patagua,-72.066667000300001,-34.766666999999998
Crinodendron patagua,-72.066666666900005,-34.766666666799999
Crinodendron patagua,-72.060000000100004,-34.739999999500000
Crinodendron patagua,-71.966666999500006,-35.233332999600002
Crinodendron patagua,-71.883333333400003,-36.700000000300001
Crinodendron patagua,-71.880000000199999,-36.649999999999999
Crinodendron patagua,-71.866669999999999,-36.716670000100002
Crinodendron patagua,-71.866670000400006,-36.716667000100003
Crinodendron patagua,-71.833333333100001,-36.133333332900001
Crinodendron patagua,-71.633333000500002,-36.283333000299997
Crinodendron patagua,-71.629999999800006,-36.280000000100003
Crinodendron patagua,-71.616666666699999,-33.600000000100003
Crinodendron patagua,-71.610000000100001,-36.270000000400003
Crinodendron patagua,-71.599999999600001,-33.583333333600002
Crinodendron patagua,-71.570000000199997,-33.030000000000001
Crinodendron patagua,-71.566666999600002,-34.033332999800002
Crinodendron patagua,-71.566666999800006,-33.033332999700001
Crinodendron patagua,-71.550000000300003,-33.633332999899999
Crinodendron patagua,-71.540000000299997,-33.029999999499999
Crinodendron patagua,-71.533333333100003,-33.000000000199996
Crinodendron patagua,-71.533332999799995,-35.466666999899999
Crinodendron patagua,-71.533332999799995,-33.583332999699998
Crinodendron patagua,-71.529999999899999,-33.610000000399999
Crinodendron patagua,-71.529999999400005,-33.579999999499996
Crinodendron patagua,-71.509999999900003,-35.450000000000003
Crinodendron patagua,-71.509999999900003,-33.560000000199999
Crinodendron patagua,-71.449999999599996,-34.583333000000003
Crinodendron patagua,-71.450000000200006,-33.050000000300003
Crinodendron patagua,-71.433333333199997,-33.050000000300003
Crinodendron patagua,-71.429999999700001,-33.049999999900002
Crinodendron patagua,-71.399999999900004,-35.783333000299997
Crinodendron patagua,-71.383333000099995,-36.383333000199997
Crinodendron patagua,-71.383333000400000,-36.016666999700000
Crinodendron patagua,-71.383333000099995,-35.366667000000000
Crinodendron patagua,-71.379999999999995,-36.020000000200000
Crinodendron patagua,-71.379999999600003,-35.749999999600000
Crinodendron patagua,-71.370000000100006,-36.370000000300003
Crinodendron patagua,-71.370000000299996,-36.020000000400003
Crinodendron patagua,-71.370000000499999,-35.350000000100003
Crinodendron patagua,-71.316666666700002,-32.233333332800001
Crinodendron patagua,-71.250000000000000,-33.020000000099998
Crinodendron patagua,-71.250000000200004,-33.016667000200002
Crinodendron patagua,-71.250000000100002,-32.883332999600000
Crinodendron patagua,-71.240000000500004,-33.020000000200000
Crinodendron patagua,-71.239999999899993,-32.850000000000001
Crinodendron patagua,-71.233333000100004,-34.983333000199998
Crinodendron patagua,-71.233333000299993,-34.183332999800001
Crinodendron patagua,-71.233333000100004,-32.449999999699997
Crinodendron patagua,-71.230000000000004,-34.980000000099999
Crinodendron patagua,-71.229999999599997,-32.449999999600003
Crinodendron patagua,-71.219999999500004,-34.940000000300003
Crinodendron patagua,-71.219999999999999,-34.179999999499998
Crinodendron patagua,-71.219999999799995,-32.429999999800003
Crinodendron patagua,-71.216666666500004,-32.600000000199998
Crinodendron patagua,-71.183333000199994,-32.949999999799999
Crinodendron patagua,-71.180000000400000,-32.950000000000003
Crinodendron patagua,-71.179999999700001,-32.909999999900002
Crinodendron patagua,-71.169999999500007,-32.979999999800000
Crinodendron patagua,-71.166667000100006,-32.983333000199998
Crinodendron patagua,-71.160000000300002,-32.939999999999998
Crinodendron patagua,-71.150000000299997,-34.200000000099998
Crinodendron patagua,-71.133332999700002,-32.949999999600003
Crinodendron patagua,-71.133330000100003,-32.999999999700002
Crinodendron patagua,-71.129999999899994,-33.000000000199996
Crinodendron patagua,-71.129999999700004,-32.949999999699997
Crinodendron patagua,-71.129999999800006,-32.909999999900002
Crinodendron patagua,-71.122780000399999,-32.644443999899998
Crinodendron patagua,-71.122779999700001,-32.644440000300001
Crinodendron patagua,-71.119999999699999,-32.830000000100000
Crinodendron patagua,-71.119999999800001,-32.629999999500001
Crinodendron patagua,-71.116670000200003,-32.966670000100002
Crinodendron patagua,-71.116667000199996,-32.833333000300001
Crinodendron patagua,-71.116666666900002,-32.933333333599997
Crinodendron patagua,-71.110000000300005,-32.800000000200001
Crinodendron patagua,-71.108889999900001,-34.179169999999999
Crinodendron patagua,-71.083335999699997,-32.950000000300001
Crinodendron patagua,-71.083330000299995,-32.950000000300001
Crinodendron patagua,-71.066666999700004,-33.050000000399997
Crinodendron patagua,-71.060000000499997,-32.420000000400002
Crinodendron patagua,-70.999999999799996,-33.050000000200001
Crinodendron patagua,-71.000000000499995,-32.379999999600003
Crinodendron patagua,-70.988329999800001,-34.150829999599999
Crinodendron patagua,-70.880000000099997,-33.590000000000003
Crinodendron patagua,-70.850000000400001,-33.716667000199998
Crinodendron patagua,-70.819999999900006,-33.689999999699999
Crinodendron patagua,-70.750000000100002,-33.420000000199998
Crinodendron patagua,-70.750000000499995,-33.416666999500002
Crinodendron patagua,-70.733333333199994,-33.383333333700001
Crinodendron patagua,-70.683333333700006,-33.433333333599997
Crinodendron patagua,-70.683333000299996,-33.433332999999998
Crinodendron patagua,-70.666667000000004,-33.450000000300001
Crinodendron patagua,-70.659999999500002,-33.420000000000002
Crinodendron patagua,-70.639999999899999,-33.429999999600000
Crinodendron patagua,-70.639999999599993,-32.800000000200001
Crinodendron patagua,-70.633332999600000,-33.416666999500002
Crinodendron patagua,-70.629999999899994,-33.420000000300000
Crinodendron patagua,-70.609999999799996,-33.400000000299997
Crinodendron patagua,-70.600000000400001,-32.833333000099998
Crinodendron patagua,-70.600000000099996,-32.829999999800002
Crinodendron patagua,-70.580000000400005,-32.799999999599997
Crinodendron patagua,-70.533332999899997,-33.466667000100003
Crinodendron patagua,-70.529999999799998,-33.469999999700001
Crinodendron patagua,-70.529999999599994,-33.430000000100002
Crinodendron patagua,-70.520000000400003,-33.499999999499998
Crinodendron patagua,-70.516667000100000,-33.499999999499998
Crinodendron patagua,-70.510000000100007,-33.449999999600003
Crinodendron patagua,-70.500000000200004,-33.480000000200000
Crinodendron patagua,-70.383332999800004,-33.583333000000003
Crinodendron patagua,-70.369999999800001,-33.560000000199999
Crinodendron patagua,-70.929528867299993,-33.823875267799998




