Especie,Longitud,Latitud
Patagona gigas,-72.84222000000,-36.39635700000
Patagona gigas,-72.56176800000,-35.63012200000
Patagona gigas,-72.53602100000,-36.05531200000
Patagona gigas,-72.48601200000,-36.66043700000
Patagona gigas,-72.29484000000,-35.44684900000
Patagona gigas,-72.29389000000,-35.44630900000
Patagona gigas,-72.24678000000,-35.15539000000
Patagona gigas,-72.21176100000,-35.75152800000
Patagona gigas,-72.17528300000,-35.09406900000
Patagona gigas,-72.09503200000,-39.33031400000
Patagona gigas,-72.06567800000,-34.78050000000
Patagona gigas,-72.04224600000,-34.64101100000
Patagona gigas,-72.04190200000,-34.77165300000
Patagona gigas,-72.03693000000,-34.69453700000
Patagona gigas,-72.03035800000,-34.44882100000
Patagona gigas,-72.02726900000,-34.44913200000
Patagona gigas,-72.01778400000,-34.47691600000
Patagona gigas,-72.00973000000,-34.48121100000
Patagona gigas,-72.00601500000,-34.48822900000
Patagona gigas,-72.00126200000,-34.49630000000
Patagona gigas,-72.00118700000,-34.49091700000
Patagona gigas,-71.99812900000,-34.38246900000
Patagona gigas,-71.99312600000,-34.88608900000
Patagona gigas,-71.98890200000,-34.52786000000
Patagona gigas,-71.98602700000,-34.50606100000
Patagona gigas,-71.98467500000,-34.39315800000
Patagona gigas,-71.97634900000,-34.40186900000
Patagona gigas,-71.97200400000,-35.76772300000
Patagona gigas,-71.93607300000,-34.07036500000
Patagona gigas,-71.91453000000,-34.10281500000
Patagona gigas,-71.88116300000,-33.98835400000
Patagona gigas,-71.83479300000,-33.91017200000
Patagona gigas,-71.81447300000,-38.21299600000
Patagona gigas,-71.81013800000,-39.18759500000
Patagona gigas,-71.79913000000,-34.97297700000
Patagona gigas,-71.79073800000,-33.91827400000
Patagona gigas,-71.73437100000,-33.75924100000
Patagona gigas,-71.73265500000,-33.75831300000
Patagona gigas,-71.73025100000,-33.78956200000
Patagona gigas,-71.71600300000,-39.16414100000
Patagona gigas,-71.71196900000,-33.80382800000
Patagona gigas,-71.71119700000,-33.75231900000
Patagona gigas,-71.70521000000,-33.75183700000
Patagona gigas,-71.69566100000,-33.80304300000
Patagona gigas,-71.69291400000,-33.80369000000
Patagona gigas,-71.69248600000,-30.72899900000
Patagona gigas,-71.69197100000,-33.75620800000
Patagona gigas,-71.68731400000,-30.65282800000
Patagona gigas,-71.68717300000,-33.14714400000
