Especie,Longitud,Latitud
Echinopsis chiloensis,-71.566666666900005,-33.033333333000002
Echinopsis chiloensis,-71.533333332799998,-32.949999999699997
Echinopsis chiloensis,-71.266666667099997,-33.016666666900001
Echinopsis chiloensis,-71.266666666999996,-33.099999999900000
Echinopsis chiloensis,-71.150000000399999,-32.133333332900001
Echinopsis chiloensis,-70.683333333199997,-33.200000000400003
Echinopsis chiloensis,-70.430000000299998,-25.019999999800000
Echinopsis chiloensis,-71.250000000000000,-29.449999999700001
Echinopsis chiloensis,-70.370000000199994,-29.849999999700000
Echinopsis chiloensis,-70.819999999600000,-30.049999999899999
Echinopsis chiloensis,-70.669999999900000,-30.199999999900001
Echinopsis chiloensis,-70.670000000100003,-30.269999999700001
Echinopsis chiloensis,-71.581189730600002,-30.304996868500002
Echinopsis chiloensis,-71.599999999600001,-31.420000000100000
Echinopsis chiloensis,-71.520000000500005,-32.180000000000000
Echinopsis chiloensis,-71.129999999899994,-32.980000000200000
Echinopsis chiloensis,-70.999999999699995,-33.070000000000000
Echinopsis chiloensis,-71.679999999600000,-33.399999999599999
Echinopsis chiloensis,-71.619999999900003,-33.820000000199997
Echinopsis chiloensis,-72.045621792199995,-34.428540597400001
Echinopsis chiloensis,-71.770000000099998,-35.419999999900000
Echinopsis chiloensis,-71.150000000099993,-32.130000000099997
Echinopsis chiloensis,-71.530000000300006,-32.949999999699997
Echinopsis chiloensis,-71.269999999500001,-33.019999999600003
Echinopsis chiloensis,-71.570000000199997,-33.030000000000001
Echinopsis chiloensis,-71.270000000300001,-33.100000000000001
Echinopsis chiloensis,-70.679999999700001,-33.200000000199999
Echinopsis chiloensis,-70.350000000199998,-33.250000000100002
					 
					 
