Especie,Longitud,Latitud
Lobelia excelsa,-72.52999785540,-35.72999744310
Lobelia excelsa,-72.43000508430,-35.33000366040
Lobelia excelsa,-72.41999807050,-35.32999911640
Lobelia excelsa,-72.37999619120,-35.29999886430
Lobelia excelsa,-72.17000277170,-34.95000202970
Lobelia excelsa,-72.16999855770,-34.93000284830
Lobelia excelsa,-72.03000297010,-34.69999872220
Lobelia excelsa,-72.02583404650,-34.45000303440
Lobelia excelsa,-72.01250400980,-34.38361255870
Lobelia excelsa,-71.99999611680,-34.63000351670
Lobelia excelsa,-71.99784310700,-34.38408108790
Lobelia excelsa,-71.97999813120,-34.38000137370
Lobelia excelsa,-71.95000485800,-34.19999606940
Lobelia excelsa,-71.67786160060,-33.44857129510
Lobelia excelsa,-71.67000357260,-30.66999676130
Lobelia excelsa,-71.64999753920,-33.03000038740
Lobelia excelsa,-71.64999739880,-33.07999612420
Lobelia excelsa,-71.64999726620,-33.06999700550
Lobelia excelsa,-71.63713819450,-33.03309514680
Lobelia excelsa,-71.63000480290,-33.47999809040
Lobelia excelsa,-71.61999529250,-30.83000307160
Lobelia excelsa,-71.61999526060,-33.74999925600
Lobelia excelsa,-71.61999521080,-33.35000061050
Lobelia excelsa,-71.59999776790,-31.03000374450
Lobelia excelsa,-71.59999667900,-31.12000187280
Lobelia excelsa,-71.57999952010,-31.05000328690
Lobelia excelsa,-71.57999842550,-31.25000273460
Lobelia excelsa,-71.57048836220,-33.02519078040
Lobelia excelsa,-71.56999645860,-33.02999776470
Lobelia excelsa,-71.53617525290,-32.77943517310
Lobelia excelsa,-71.53000230690,-32.82000135570
Lobelia excelsa,-71.52000046910,-31.70000230960
Lobelia excelsa,-71.51000073330,-31.70000123150
Lobelia excelsa,-71.49999835850,-31.78000094530
Lobelia excelsa,-71.49999488500,-31.91999946910
Lobelia excelsa,-71.48000367250,-32.72000092980
Lobelia excelsa,-71.47000407960,-32.14999715280
Lobelia excelsa,-71.46999709950,-32.33000226990
Lobelia excelsa,-71.46822311350,-32.55383589020
Lobelia excelsa,-71.41999788660,-32.52000199530
Lobelia excelsa,-71.40805905450,-32.12750104580
Lobelia excelsa,-71.37000318860,-31.92000326810
Lobelia excelsa,-71.32999903420,-32.45000054410
Lobelia excelsa,-71.32000403860,-31.76999815430
Lobelia excelsa,-71.30000347410,-32.32999778660
Lobelia excelsa,-71.27999672720,-32.94999821060
Lobelia excelsa,-71.27000368300,-29.82999774030
Lobelia excelsa,-71.27000232880,-33.02000275900
Lobelia excelsa,-71.25000332240,-29.56999896490
Lobelia excelsa,-71.25000317690,-32.72000398670
Lobelia excelsa,-71.24999589270,-32.66999985920
Lobelia excelsa,-71.23000471510,-34.18000092440
Lobelia excelsa,-71.23000320150,-29.57000265560
Lobelia excelsa,-71.20000223560,-34.63000346520
Lobelia excelsa,-71.18000009980,-31.62000123900
Lobelia excelsa,-71.17000023470,-32.98000336110
Lobelia excelsa,-71.15000279910,-31.68000220190
Lobelia excelsa,-71.11999896020,-32.99999849740
Lobelia excelsa,-71.10000362230,-31.57000258280
Lobelia excelsa,-71.09999853170,-30.61999964910
Lobelia excelsa,-71.01666519820,-33.05000292050
Lobelia excelsa,-70.99776018290,-32.86491138610
Lobelia excelsa,-70.95000221960,-33.61999662490
Lobelia excelsa,-70.92999598700,-33.47999710980
Lobelia excelsa,-70.92999555170,-33.20000209400
Lobelia excelsa,-70.92953256590,-33.82387543260
Lobelia excelsa,-70.90000484950,-33.48000076240
Lobelia excelsa,-70.89999762130,-33.41999667180
Lobelia excelsa,-70.87917063570,-33.10693683650
Lobelia excelsa,-70.71999664290,-30.75000051600
Lobelia excelsa,-70.67000260980,-33.62000131490
Lobelia excelsa,-70.65000365850,-33.02999667340
