Especie,Longitud,Latitud
Mimus_thenca,-73.930656999999997,-42.635843000000001
Mimus_thenca,-73.781035000000003,-42.500250999999999
Mimus_thenca,-73.771511000000004,-42.484653999999999
Mimus_thenca,-73.681312000000005,-42.466588999999999
Mimus_thenca,-73.979487000000006,-42.039923000000002
Mimus_thenca,-72.673702000000006,-41.998303000000000
Mimus_thenca,-73.549880999999999,-41.966645999999997
Mimus_thenca,-72.834034000000003,-41.937038999999999
Mimus_thenca,-73.663543000000004,-41.882953999999998
Mimus_thenca,-73.610239000000007,-41.833601999999999
Mimus_thenca,-73.627508000000006,-41.825938000000001
Mimus_thenca,-73.613669000000002,-41.816544999999998
Mimus_thenca,-72.153912000000005,-41.719824000000003
Mimus_thenca,-73.450812999999997,-41.673938000000000
Mimus_thenca,-73.306843999999998,-41.652650999999999
Mimus_thenca,-73.675624999999997,-41.583188999999997
Mimus_thenca,-72.544380000000004,-41.560225000000003
Mimus_thenca,-73.052688000000003,-41.513782999999997
Mimus_thenca,-72.824228000000005,-41.499063999999997
Mimus_thenca,-72.844161999999997,-41.498806999999999
Mimus_thenca,-72.976770000000002,-41.435068999999999
Mimus_thenca,-72.954497000000003,-41.408552999999998
Mimus_thenca,-73.031959000000001,-41.402178999999997
Mimus_thenca,-73.464932000000005,-41.396706999999999
Mimus_thenca,-73.467421000000002,-41.393399000000002
Mimus_thenca,-73.133626000000007,-41.362163000000002
Mimus_thenca,-73.049211000000000,-41.358643999999998
Mimus_thenca,-72.943252999999999,-41.336446000000002
Mimus_thenca,-72.869224000000003,-41.298524999999998
Mimus_thenca,-72.817983999999996,-41.265227000000003
Mimus_thenca,-73.004569000000004,-41.257250999999997
Mimus_thenca,-73.006501999999998,-41.256746000000000
Mimus_thenca,-73.015822999999997,-41.256646000000003
Mimus_thenca,-72.595552999999995,-41.221406000000002
Mimus_thenca,-72.693286999999998,-41.215108999999998
Mimus_thenca,-72.710232000000005,-41.215057999999999
Mimus_thenca,-73.020060999999998,-41.200598999999997
Mimus_thenca,-73.491129999999998,-41.174376000000002
Mimus_thenca,-72.447495000000004,-41.172322999999999
Mimus_thenca,-73.007669000000007,-41.154617999999999
Mimus_thenca,-73.027979000000002,-41.135761000000002
Mimus_thenca,-73.059082000000004,-41.130056000000003
Mimus_thenca,-72.258110000000002,-41.114538000000003
Mimus_thenca,-73.050199000000006,-41.112662999999998
Mimus_thenca,-73.036230000000003,-41.108086999999998
Mimus_thenca,-73.055905999999993,-41.101086000000002
Mimus_thenca,-72.969818000000004,-41.093134999999997
Mimus_thenca,-72.651927999999998,-41.024908000000003
Mimus_thenca,-73.119506999999999,-41.019835000000000
Mimus_thenca,-72.585510999999997,-41.011941000000000
Mimus_thenca,-72.680053999999998,-41.004775000000002
Mimus_thenca,-72.741851999999994,-40.995966000000003
Mimus_thenca,-73.679123000000004,-40.992337999999997
Mimus_thenca,-72.706746999999993,-40.990555999999998
Mimus_thenca,-72.889050999999995,-40.978926000000001
Mimus_thenca,-72.882814999999994,-40.976534999999998
Mimus_thenca,-72.878709000000001,-40.975791000000001
Mimus_thenca,-72.815837999999999,-40.965575999999999
Mimus_thenca,-73.133240000000001,-40.965001999999998
Mimus_thenca,-72.863302000000004,-40.947037999999999
Mimus_thenca,-72.278570000000002,-40.892201999999997
Mimus_thenca,-73.156842999999995,-40.891075000000001
Mimus_thenca,-72.674593000000002,-40.808492999999999
Mimus_thenca,-73.166388999999995,-40.804721999999998
Mimus_thenca,-72.955810999999997,-40.798757000000002
Mimus_thenca,-73.353652999999994,-40.793669000000001
Mimus_thenca,-72.186098000000001,-40.780150999999996
Mimus_thenca,-72.406597000000005,-40.778168999999998
Mimus_thenca,-72.280769000000006,-40.742444999999996
Mimus_thenca,-73.038782999999995,-40.720241999999999
