Especie,Longitud,Latitud
Pteroptochos_megapodius,-70.516694000000001,-35.137706999999999
Pteroptochos_megapodius,-70.478615000000005,-35.136533000000000
Pteroptochos_megapodius,-70.497049000000004,-35.124026999999998
Pteroptochos_megapodius,-70.481751000000003,-35.106738000000000
Pteroptochos_megapodius,-70.492407000000000,-35.092706999999997
Pteroptochos_megapodius,-70.493622000000002,-35.091583999999997
Pteroptochos_megapodius,-70.498659000000004,-35.084831999999999
Pteroptochos_megapodius,-70.503086999999994,-35.073911000000003
Pteroptochos_megapodius,-70.513816000000006,-35.057682999999997
Pteroptochos_megapodius,-70.559499000000002,-35.047353999999999
Pteroptochos_megapodius,-70.714941999999994,-35.026477000000000
Pteroptochos_megapodius,-70.812034999999995,-35.000225999999998
Pteroptochos_megapodius,-70.491542999999993,-34.937593000000000
Pteroptochos_megapodius,-71.343497999999997,-34.927318999999997
Pteroptochos_megapodius,-70.651446000000007,-34.921171999999999
Pteroptochos_megapodius,-70.661927000000006,-34.890735999999997
Pteroptochos_megapodius,-71.558621000000002,-34.851872000000000
Pteroptochos_megapodius,-70.420625000000001,-34.835346000000001
Pteroptochos_megapodius,-70.444111000000007,-34.820982000000001
Pteroptochos_megapodius,-70.464162999999999,-34.807813000000003
Pteroptochos_megapodius,-70.752528999999996,-34.805497000000003
Pteroptochos_megapodius,-70.483817999999999,-34.803452999999998
Pteroptochos_megapodius,-71.338346000000001,-34.781995999999999
Pteroptochos_megapodius,-71.520150999999998,-34.772584000000002
Pteroptochos_megapodius,-70.785925000000006,-34.772238000000002
Pteroptochos_megapodius,-71.352053999999995,-34.770868999999998
Pteroptochos_megapodius,-70.714715999999996,-34.754083000000001
Pteroptochos_megapodius,-70.773239000000004,-34.744998000000002
Pteroptochos_megapodius,-71.149178000000006,-34.698898000000000
Pteroptochos_megapodius,-71.196122000000003,-34.692341999999996
Pteroptochos_megapodius,-70.456181000000001,-34.688133999999998
Pteroptochos_megapodius,-71.540801000000002,-34.682101000000003
Pteroptochos_megapodius,-71.155828999999997,-34.672535000000003
Pteroptochos_megapodius,-71.739971999999995,-34.660167999999999
Pteroptochos_megapodius,-70.794150000000002,-34.633412999999997
Pteroptochos_megapodius,-70.899743000000001,-34.586708000000002
Pteroptochos_megapodius,-70.996848999999997,-34.542054999999998
Pteroptochos_megapodius,-71.229832999999999,-34.540973999999999
Pteroptochos_megapodius,-71.989571999999995,-34.528312999999997
Pteroptochos_megapodius,-71.989907000000002,-34.528002999999998
Pteroptochos_megapodius,-71.988688999999994,-34.524417000000000
Pteroptochos_megapodius,-71.986027000000007,-34.506061000000003
Pteroptochos_megapodius,-71.997023999999996,-34.497401000000004
Pteroptochos_megapodius,-72.009730000000005,-34.481211000000002
Pteroptochos_megapodius,-70.740461999999994,-34.479261999999999
Pteroptochos_megapodius,-70.420664000000002,-34.455846999999999
Pteroptochos_megapodius,-70.950040000000001,-34.449002000000000
Pteroptochos_megapodius,-70.422173000000001,-34.439895000000000
Pteroptochos_megapodius,-70.213773000000003,-34.412787000000002
Pteroptochos_megapodius,-71.976348999999999,-34.401868999999998
Pteroptochos_megapodius,-70.253642999999997,-34.400036000000000
Pteroptochos_megapodius,-70.274825000000007,-34.394210999999999
Pteroptochos_megapodius,-70.274820000000005,-34.393028999999999
Pteroptochos_megapodius,-71.998129000000006,-34.382469000000000
Pteroptochos_megapodius,-70.283247000000003,-34.381506000000002
Pteroptochos_megapodius,-70.288863000000006,-34.375163999999998
Pteroptochos_megapodius,-70.305000000000007,-34.361944000000001
Pteroptochos_megapodius,-70.307177999999993,-34.358815000000000
Pteroptochos_megapodius,-70.307972000000007,-34.358440999999999
Pteroptochos_megapodius,-70.388884000000004,-34.340680999999996
Pteroptochos_megapodius,-70.724337000000006,-34.333855000000000
